0,50494
10,55125
20,5306
30,33936
40,63691
50,53075
60,39755
70,62468
80,46930
90,28631
100,18254
110,36941
120,18316
130,12429
140,32834
150,19262
160,40651
170,12945
180,9665
190,43279
200,61884
210,13199
220,46372
230,56907
240,41444
250,26801
260,62522
270,58024
280,34143
290,8163
300,1840
310,12225
320,52274
330,149
340,64694
350,43664
360,31969
370,42625
380,8255
390,25043
400,29059
410,31275
420,18677
430,58716
440,11955
450,10544
460,41950
470,64131
480,14294
490,39511
500,38153
510,16359
520,43614
530,26634
540,37703
550,58325
560,12010
570,50449
580,41555
590,31733
600,38054
610,24100
620,24823
630,24475
640,4321
650,34086
660,62459
670,9055
680,11773
690,17068
700,19601
710,5064
720,10518
730,51287
740,36127
750,30867
760,28206
770,54974
780,36072
790,59056
800,64573
810,46840
820,10796
830,42509
840,15119
850,63759
860,43944
870,24953
880,31855
890,2124
900,35525
910,15353
920,28896
930,48766
940,22345
950,43586
960,55853
970,8151
980,13186
990,19183
1000,28675
1010,5928
1020,9698
1030,3499
1040,16311
1050,24709
1060,15688
1070,51276
1080,11997
1090,48514
1100,15210
1110,4769
1120,2835
1130,25505
1140,24244
1150,16239
1160,62814
1170,27600
1180,8006
1190,2986
1200,55786
1210,13303
1220,34068
1230,9175
1240,28944
1250,9433
1260,39460
1270,45913
1280,57156
1290,23634
1300,8000
1310,61227
1320,5161
1330,13227
1340,51285
1350,26129
1360,34096
1370,46996
1380,61632
1390,22206
1400,26661
1410,7608
1420,20736
1430,21227
1440,44867
1450,32858
1460,15363
1470,57974
1480,22913
1490,1730
1500,61816
1510,53727
1520,40821
1530,46812
1540,50940
1550,32890
1560,20108
1570,1630
1580,60024
1590,10364
1600,44029
1610,5989
1620,36815
1630,17673
1640,31474
1650,63154
1660,46166
1670,37732
1680,47081
1690,17346
1700,40671
1710,50858
1720,54318
1730,10580
1740,199
1750,25206
1760,43830
1770,20981
1780,31380
1790,29241
1800,58737
1810,49630
1820,54317
1830,4134
1840,52725
1850,54817
1860,6131
1870,21715
1880,58373
1890,8373
1900,33977
1910,20668
1920,58505
1930,63866
1940,9
1950,5100
1960,64825
1970,42722
1980,40902
1990,61196
2000,6534
2010,54412
2020,24641
2030,10940
2040,17107
2050,1930
2060,52666
2070,54720
2080,41441
2090,444
2100,27987
2110,1873
2120,309
2130,12816
2140,24963
2150,15584
2160,26019
2170,39638
2180,36697
2190,23884
2200,13130
2210,62338
2220,51995
2230,10662
2240,2863
2250,36007
2260,59372
2270,15175
2280,33618
2290,17487
2300,45488
2310,15087
2320,20242
2330,36491
2340,2434
2350,5544
2360,5329
2370,26966
2380,34035
2390,41250
2400,48089
2410,5505
2420,64813
2430,60118
2440,57074
2450,48817
2460,23368
2470,27242
2480,49227
2490,38146
2500,1166
2510,18147
2520,19794
2530,35569
2540,43700
2550,44238
2560,48129
2570,12282
2580,44335
2590,4674
2600,5400
2610,35339
2620,21477
2630,19584
2640,37949
2650,47304
2660,51746
2670,16992
